City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Course Description
210,Vostok,RU,2021-12-03 20:47:20,46.4856,135.8833,-4.5,98,91,3.31,overcast clouds
211,Key West,US,2021-12-03 20:43:21,24.5557,-81.7826,75.99,64,1,10.36,clear sky
212,Raudeberg,NO,2021-12-03 20:47:21,61.9875,5.1352,32.67,80,100,1.01,light snow
213,Swanton,US,2021-12-03 20:47:22,41.5887,-83.8911,41.14,90,90,4.61,overcast clouds
214,Koulamoutou,GA,2021-12-03 20:47:22,-1.1303,12.4736,72.46,97,100,1.7,overcast clouds
215,Harrisonburg,US,2021-12-03 20:47:23,38.4496,-78.8689,63.09,34,1,0.0,clear sky
216,Lodja,CD,2021-12-03 20:47:23,-3.4833,23.4333,71.11,95,100,2.28,overcast clouds
217,Augusto Correa,BR,2021-12-03 20:47:24,-1.0217,-46.635,78.55,84,100,4.21,light rain
218,Pacific Grove,US,2021-12-03 20:47:24,36.6177,-121.9166,61.81,80,40,3.0,scattered clouds
219,Kismayo,SO,2021-12-03 20:47:25,-0.3582,42.5454,79.97,77,60,9.98,broken clouds
220,Havelock,US,2021-12-03 20:44:53,34.8791,-76.9013,74.01,57,1,4.0,clear sky
221,Kieta,PG,2021-12-03 20:47:25,-6.2167,155.6333,81.59,76,8,2.59,clear sky
222,Makakilo City,US,2021-12-03 20:43:50,21.3469,-158.0858,77.61,81,90,10.36,light rain
223,Pontal Do Parana,BR,2021-12-03 20:47:26,-25.6533,-48.5128,76.73,60,0,9.22,clear sky
224,Saint George,US,2021-12-03 20:44:20,37.1041,-113.5841,72.07,25,1,3.0,clear sky
225,Port Elizabeth,ZA,2021-12-03 20:44:20,-33.918,25.5701,61.09,82,0,2.3,clear sky
226,Sioux Lookout,CA,2021-12-03 20:47:27,50.1001,-91.917,26.98,93,90,8.05,light snow
227,Bethel,US,2021-12-03 20:47:27,41.3712,-73.414,44.96,50,1,4.0,clear sky
228,Laguna,US,2021-12-03 20:44:15,38.421,-121.4238,76.23,100,90,0.0,fog
229,Calama,CL,2021-12-03 20:47:28,-22.4667,-68.9333,73.89,10,0,20.71,clear sky
230,Hare Bay,CA,2021-12-03 20:47:28,48.8499,-54.0148,52.95,85,100,18.14,overcast clouds
231,Palmer,US,2021-12-03 20:47:29,42.1584,-72.3287,40.55,44,20,5.01,few clouds
232,Kendari,ID,2021-12-03 20:47:29,-3.945,122.4989,75.56,92,100,3.22,overcast clouds
233,Iberia,US,2021-12-03 20:47:30,29.9502,-91.7507,76.08,53,1,3.44,clear sky
234,Thinadhoo,MV,2021-12-03 20:47:30,0.5333,72.9333,81.66,79,20,10.83,few clouds
235,Turukhansk,RU,2021-12-03 20:47:31,65.8167,87.9833,2.71,96,100,14.5,light snow
236,Salinopolis,BR,2021-12-03 20:47:31,-0.6136,-47.3561,79.9,82,98,7.87,overcast clouds
237,Taungdwingyi,MM,2021-12-03 20:47:32,20.0167,95.55,66.96,80,100,2.73,overcast clouds
238,Half Moon Bay,US,2021-12-03 20:45:58,37.4636,-122.4286,59.61,83,90,0.0,mist
239,Barrow,US,2021-12-03 20:44:27,71.2906,-156.7887,-16.58,69,1,21.85,haze
240,Malindi,KE,2021-12-03 20:47:33,-3.2175,40.1191,79.23,79,12,6.93,light rain
241,Bad Kreuznach,DE,2021-12-03 20:47:34,49.8333,7.8667,38.75,83,100,15.75,overcast clouds
242,Imeni Poliny Osipenko,RU,2021-12-03 20:47:34,52.4201,136.4853,-25.15,100,71,0.63,broken clouds
243,Odweyne,SO,2021-12-03 20:47:35,9.4092,45.064,63.12,38,2,7.49,clear sky
244,Ikalamavony,MG,2021-12-03 20:47:35,-21.15,46.5833,69.17,75,13,5.5,few clouds
245,Poltavka,RU,2021-12-03 20:47:36,54.3663,71.7632,26.19,92,100,15.26,light snow
246,Livadia,GR,2021-12-03 20:47:36,38.435,22.8739,62.11,84,100,5.41,overcast clouds
247,Saskylakh,RU,2021-12-03 20:47:37,71.9167,114.0833,-23.58,96,100,11.05,overcast clouds
248,Alofi,NU,2021-12-03 20:47:37,-19.0595,-169.9187,80.49,83,75,10.36,broken clouds
249,Bodden Town,KY,2021-12-03 20:47:38,19.2833,-81.25,84.2,73,20,10.0,few clouds
250,Bengkulu,ID,2021-12-03 20:47:38,-3.8004,102.2655,76.59,89,100,5.44,moderate rain
251,Codrington,AU,2021-12-03 20:47:39,-38.2667,141.9667,56.75,76,98,13.2,overcast clouds
252,Kaeo,NZ,2021-12-03 20:47:39,-35.1,173.7833,70.32,85,100,8.52,light rain
253,Arroyo,ES,2021-12-03 20:47:40,41.6096,-4.7969,45.61,85,33,7.94,scattered clouds
254,Nanortalik,GL,2021-12-03 20:47:40,60.1432,-45.2371,27.28,53,98,7.7,overcast clouds
255,Lebu,CL,2021-12-03 20:47:41,-37.6167,-73.65,56.48,74,0,18.7,clear sky
256,East London,ZA,2021-12-03 20:47:41,-33.0153,27.9116,64.36,73,99,8.63,overcast clouds
257,Soure,BR,2021-12-03 20:47:42,-0.7167,-48.5233,80.35,80,87,8.7,moderate rain
258,Avera,US,2021-12-03 20:47:42,33.194,-82.5271,80.71,31,12,6.93,few clouds
259,Kerema,PG,2021-12-03 20:47:42,-7.9631,145.7785,79.07,85,100,2.75,overcast clouds
